DateOfCall,FirstPumpArriving_AttendanceTime
22/09/2018,306.7683398
23/09/2018,305.9927798
24/09/2018,306.6585366
25/09/2018,317.3027211
26/09/2018,314.0981013
27/09/2018,312.8784195
28/09/2018,309.0899281
29/09/2018,320.7375887
30/09/2018,305.5703422
01/10/2018,308.6666667
02/10/2018,313.9105058
03/10/2018,317.5331126
04/10/2018,317.8715278
05/10/2018,313.4517375
06/10/2018,325.6969697
07/10/2018,299.5755102
08/10/2018,307.693662
09/10/2018,311.3785714
10/10/2018,303.7292419
11/10/2018,318.7704918
12/10/2018,310.5495868
13/10/2018,310.3224756
14/10/2018,309.939759
15/10/2018,300.2724458
16/10/2018,320.9280576
17/10/2018,303.4439834
18/10/2018,300.5106383
19/10/2018,305.5245902
20/10/2018,306.8277027
21/10/2018,303.6172414
22/10/2018,306.2613636
23/10/2018,303.7148438
24/10/2018,315.0892857
25/10/2018,316.2616034
26/10/2018,308.0110701
27/10/2018,302.8169492
28/10/2018,293.0996016
29/10/2018,304.0067797
30/10/2018,298.2151394
31/10/2018,322.0448718
01/11/2018,330.1318681
02/11/2018,334.325
03/11/2018,329.0558824
04/11/2018,328.396875
05/11/2018,319.6253369
06/11/2018,316
07/11/2018,318.6603774
08/11/2018,309.4068441
09/11/2018,320.6141732
10/11/2018,310.9792388
11/11/2018,304.608365
12/11/2018,312.3976834
13/11/2018,313.484
14/11/2018,310.7960784
15/11/2018,322.743295
16/11/2018,322.2738095
17/11/2018,314.0736434
18/11/2018,310.0521739
19/11/2018,304.8604651
20/11/2018,332.1395349
21/11/2018,312.2336066
22/11/2018,340.6190476
23/11/2018,329.5328947
24/11/2018,311.7987013
25/11/2018,322.2076271
26/11/2018,309.9166667
27/11/2018,308.4238683
28/11/2018,325.1717557
29/11/2018,306.4310954
30/11/2018,322.0351563
01/12/2018,310.473251
02/12/2018,300.5018727
03/12/2018,304.0711297
04/12/2018,310.7294118
05/12/2018,328.7546468
06/12/2018,322.6568266
07/12/2018,331.9808429
08/12/2018,310.8
09/12/2018,299.9958506
10/12/2018,301.4338843
11/12/2018,311.7647059
12/12/2018,320.011583
13/12/2018,309.1523438
14/12/2018,314.1156463
15/12/2018,327.33
16/12/2018,312.5515695
17/12/2018,317.9694656
18/12/2018,321.7349398
19/12/2018,329.5791667
20/12/2018,313.1097046
21/12/2018,330.5886792
22/12/2018,308.5114155
23/12/2018,291.2775665
24/12/2018,311.4870849
25/12/2018,280.4852321
26/12/2018,288.8324324
27/12/2018,302.2627119
28/12/2018,295.029703
29/12/2018,285.0754717
30/12/2018,287.9398148
31/12/2018,293.987069
01/01/2019,321.1549296
02/01/2019,300.6396396
03/01/2019,303.045045
04/01/2019,298.5714286
05/01/2019,302.6610879
06/01/2019,298.4026549
07/01/2019,299.1943128
08/01/2019,305.2904564
09/01/2019,308.5
10/01/2019,311.6434783
11/01/2019,304.9724771
12/01/2019,297.8693694
13/01/2019,321.2352941
14/01/2019,299.4714286
15/01/2019,315.6478261
16/01/2019,316.7220077
17/01/2019,307.0161943
18/01/2019,308.844358
19/01/2019,308.340081
20/01/2019,303.3556485
21/01/2019,314.8548387
22/01/2019,325.3833333
23/01/2019,301.352
24/01/2019,312.6914498
25/01/2019,314.5
26/01/2019,316.0389105
27/01/2019,297.787234
28/01/2019,326.8275862
29/01/2019,316.8695652
30/01/2019,316.5810811
31/01/2019,318.6111111
01/02/2019,322.3731343
02/02/2019,309.5635593
03/02/2019,301.78327
04/02/2019,321.4504132
05/02/2019,308.5588235
06/02/2019,301.0684411
07/02/2019,317.4225941
08/02/2019,323.2930233
09/02/2019,297.9618321
10/02/2019,299.6598985
11/02/2019,317.400722
12/02/2019,313.9507576
13/02/2019,324.0974576
14/02/2019,316.8481013
15/02/2019,307.876652
16/02/2019,302.7938596
17/02/2019,300.7
18/02/2019,300.1082251
19/02/2019,313.3404255
20/02/2019,300.6803279
21/02/2019,308.3449612
22/02/2019,323.4313725
23/02/2019,310.2794118
24/02/2019,306.120155
25/02/2019,315.6329588
26/02/2019,308.0352941
27/02/2019,307.8264151
28/02/2019,293.8828829
01/03/2019,297.8285714
02/03/2019,320.7638889
03/03/2019,319.6682028
04/03/2019,300.9013453
05/03/2019,303.4131274
06/03/2019,314.4703196
07/03/2019,317.1904762
08/03/2019,292.7047244
09/03/2019,315.1239669
10/03/2019,325.8505155
11/03/2019,309.2910448
12/03/2019,301.827451
13/03/2019,309.9784483
14/03/2019,304.0327869
15/03/2019,317.9338843
16/03/2019,309.712766
17/03/2019,316.4094828
18/03/2019,307.5675676
19/03/2019,316.3901515
20/03/2019,310.0128755
21/03/2019,307.7827869
22/03/2019,306.7556561
23/03/2019,310.2425373
24/03/2019,315.6791667
25/03/2019,322.2947368
26/03/2019,314.2316176
27/03/2019,341.7801418
28/03/2019,317.2608696
29/03/2019,314.8880866
30/03/2019,294.8683274
31/03/2019,319.8032787
01/04/2019,314.1660232
02/04/2019,324.3766234
03/04/2019,293.6204082
04/04/2019,309.702381
05/04/2019,297.2808511
06/04/2019,304.0482456
07/04/2019,291.9909502
08/04/2019,308.4130435
09/04/2019,301.7870722
10/04/2019,310.7186147
11/04/2019,308.4113208
12/04/2019,318.4579832
13/04/2019,300.8192308
14/04/2019,291.2153846
15/04/2019,306.6386861
16/04/2019,330.6031746
17/04/2019,297.0590406
18/04/2019,302.4929078
19/04/2019,290.9964789
20/04/2019,319.8133803
21/04/2019,297.8869258
22/04/2019,293.295203
23/04/2019,299.7689769
